created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-28T21:49:06+01:00,140,13.37,31.56,1017.3,48.7,51.2,0,-127,"$GNGGA,204901.000,4900.5100,N,00825.4182,E,1,5,1.66,189.4,M,47.9,M,,*4F",,,,
2022-02-28T21:49:26+01:00,141,13.16,30.39,1017.31,41,43.1,0,-127,"$GNGGA,204921.000,4900.5191,N,00825.4220,E,1,5,1.66,172.4,M,47.9,M,,*4A",,,,
2022-02-28T21:49:46+01:00,142,13.01,29.69,1017.32,37.1,39,0,-127,"$GNGGA,204941.000,4900.5172,N,00825.4253,E,1,7,1.18,175.5,M,47.9,M,,*48",,,,
2022-02-28T21:50:07+01:00,143,12.93,29.57,1017.35,27.9,29.3,0,-127,"$GNGGA,205002.000,4900.5259,N,00825.4218,E,1,6,1.51,164.0,M,47.9,M,,*4B",,,,
2022-02-28T21:50:27+01:00,144,12.82,29.09,1017.37,26.9,28.3,0,-127,"$GNGGA,205022.000,4900.5609,N,00825.4172,E,1,6,1.50,147.8,M,47.9,M,,*4F",,,,
2022-02-28T21:50:47+01:00,145,12.74,28.94,1017.38,26.5,27.9,0,-127,"$GNGGA,205042.000,4900.5998,N,00825.4065,E,1,6,1.50,137.2,M,47.9,M,,*44",,,,
2022-02-28T21:51:08+01:00,146,12.73,28.93,1017.37,29.7,31.2,0,-127,"$GNGGA,205103.000,4900.6485,N,00825.3942,E,1,6,1.50,137.0,M,47.9,M,,*4B",,,,
2022-02-28T21:51:28+01:00,147,12.68,29.02,1017.35,30.1,31.7,0,-127,"$GNGGA,205123.000,4900.6887,N,00825.4099,E,1,7,1.18,140.7,M,47.9,M,,*45",,,,
2022-02-28T21:51:48+01:00,148,12.5,29.43,1017.36,31.5,33.1,0,-127,"$GNGGA,205143.000,4900.7269,N,00825.3861,E,1,6,1.49,126.3,M,47.9,M,,*41",,,,
2022-02-28T22:18:11+01:00,149,18.44,27.03,1017.24,43.1,45.3,0,-127,"$GNGGA,211806.846,4900.7901,N,00825.4686,E,0,3,,135.2,M,47.9,M,,*56",,,,
2022-02-28T22:18:32+01:00,150,18.29,26.98,1017.25,36.9,38.8,0,-127,"$GNGGA,211827.000,4900.7848,N,00825.4498,E,1,7,1.50,83.0,M,47.9,M,,*7F",,,,
2022-02-28T22:18:53+01:00,151,18.26,26.36,1017.27,33.1,34.8,0,-127,"$GNGGA,211848.000,4900.7871,N,00825.4561,E,1,10,1.24,94.9,M,47.9,M,,*41",,,,
2022-02-28T22:19:14+01:00,152,18.29,25.86,1017.28,29.6,31.1,0,-127,"$GNGGA,211909.000,4900.7881,N,00825.4561,E,1,11,0.93,101.6,M,47.9,M,,*74",,,,
2022-02-28T22:19:35+01:00,153,18.31,24.78,1017.28,31.5,33.1,0,-127,"$GNGGA,211929.000,4900.7871,N,00825.4656,E,1,11,0.93,122.3,M,47.9,M,,*7A",,,,
2022-02-28T22:19:58+01:00,154,18.12,23.05,1017.3,32.2,33.9,0,-127,"$GNGGA,211952.000,4900.7587,N,00825.4550,E,1,11,1.03,120.4,M,47.9,M,,*7A",,,,
2022-02-28T22:20:55+01:00,155,15.97,24.23,1017.28,30.8,32.4,0,-127,"$GNGGA,212050.000,4900.6837,N,00825.3687,E,1,7,1.21,120.1,M,47.9,M,,*49",,,,
2022-02-28T22:21:16+01:00,156,15.87,24.84,1017.28,30.5,32.1,0,-127,"$GNGGA,212111.000,4900.6819,N,00825.3712,E,1,7,1.21,116.4,M,47.9,M,,*4C",,,,
2022-02-28T22:21:36+01:00,157,15.82,24.58,1017.28,30.5,32.1,0,-127,"$GNGGA,212131.000,4900.6677,N,00825.3817,E,1,8,1.19,128.3,M,47.9,M,,*4C",,,,
2022-02-28T22:21:57+01:00,158,15.66,24.49,1017.3,30.4,32,0,-127,"$GNGGA,212152.000,4900.6307,N,00825.3984,E,1,9,1.18,123.3,M,47.9,M,,*4B",,,,
2022-02-28T22:22:18+01:00,159,15.3,24.69,1017.29,27.8,29.2,0,-127,"$GNGGA,212213.000,4900.5799,N,00825.4007,E,1,9,1.18,110.1,M,47.9,M,,*4A",,,,
2022-02-28T22:22:38+01:00,160,14.98,25.14,1017.29,27.2,28.6,0,-127,"$GNGGA,212233.000,4900.5334,N,00825.4141,E,1,9,1.17,105.0,M,47.9,M,,*42",,,,
2022-02-28T22:22:59+01:00,161,14.85,25.39,1017.28,27.7,29.1,0,-127,"$GNGGA,212254.000,4900.5216,N,00825.4041,E,1,9,1.11,110.0,M,47.9,M,,*41",,,,
